Barnet,Chester,3-0
Dartford,Alfreton Town,1-0
Forest Green,Hyde United,8-0
Grimsby,Aldershot,1-1
Hereford,Braintree Town,1-1
Kidderminster,Gateshead,3-1
Macclesfield,Nuneaton Town,0-1
Salisbury,Tamworth,0-1
Southport,Luton,1-0
Woking,Lincoln,0-0
Wrexham,Welling United,2-1
Cambridge,Halifax,5-1
Aldershot,Dartford,3-0
Alfreton Town,Kidderminster,3-1
Braintree Town,Woking,2-0
Chester,Hereford,0-2
Gateshead,Grimsby,1-2
Halifax,Wrexham,3-2
Hyde United,Southport,1-2
Lincoln,Macclesfield,1-0
Luton,Salisbury,2-0
Nuneaton Town,Forest Green,1-1
Tamworth,Barnet,0-0
Welling United,Cambridge,2-2
Aldershot,Cambridge,0-1
Alfreton Town,Salisbury,3-2
Braintree Town,Kidderminster,0-1
Chester,Woking,0-2
Gateshead,Barnet,1-2
Halifax,Dartford,2-0
Hyde United,Hereford,2-2
Lincoln,Forest Green,2-1
Luton,Macclesfield,1-1
Nuneaton Town,Southport,3-1
Tamworth,Wrexham,2-2
Welling United,Grimsby,1-0
Barnet,Nuneaton Town,1-1
Cambridge,Lincoln,1-0
Dartford,Braintree Town,0-2
Forest Green,Luton,0-0
Grimsby,Alfreton Town,3-1
Hereford,Tamworth,1-0
Kidderminster,Chester,3-1
Macclesfield,Halifax,2-2
Salisbury,Aldershot,1-0
Southport,Gateshead,2-1
Woking,Welling United,2-4
Wrexham,Hyde United,2-2
Aldershot,Woking,2-1
Alfreton Town,Hereford,2-1
Braintree Town,Barnet,0-3
Chester,Forest Green,1-2
Gateshead,Macclesfield,2-2
Halifax,Southport,1-0
Hyde United,Grimsby,0-1
Lincoln,Wrexham,2-0
Luton,Cambridge,0-0
Nuneaton Town,Kidderminster,2-1
Tamworth,Dartford,0-2
Welling United,Salisbury,0-0
Barnet,Hyde United,3-2
Cambridge,Tamworth,3-0
Dartford,Lincoln,1-2
Forest Green,Alfreton Town,3-1
Grimsby,Nuneaton Town,1-2
Hereford,Welling United,2-1
Kidderminster,Luton,0-2
Macclesfield,Braintree Town,0-1
Salisbury,Halifax,3-1
Southport,Aldershot,1-0
Woking,Gateshead,1-2
Wrexham,Chester,0-2
Aldershot,Macclesfield,1-0
Alfreton Town,Woking,3-1
Braintree Town,Forest Green,1-1
Chester,Dartford,0-0
Gateshead,Hereford,2-1
Halifax,Barnet,2-1
Hyde United,Cambridge,0-1
Lincoln,Salisbury,0-1
Luton,Grimsby,0-0
Nuneaton Town,Wrexham,2-0
Tamworth,Southport,4-1
Welling United,Kidderminster,1-2
Hereford,Aldershot,0-2
Woking,Tamworth,2-2
Wrexham,Luton,2-0
Barnet,Lincoln,1-1
Cambridge,Gateshead,1-0
Dartford,Nuneaton Town,1-2
Forest Green,Halifax,2-1
Grimsby,Braintree Town,1-0
Kidderminster,Hyde United,2-1
Macclesfield,Alfreton Town,0-1
Salisbury,Chester,3-1
Southport,Welling United,2-2
Aldershot,Barnet,3-3
Alfreton Town,Cambridge,1-1
Chester,Macclesfield,2-1
Gateshead,Wrexham,0-3
Halifax,Grimsby,4-0
Hyde United,Woking,0-2
Lincoln,Southport,1-0
Luton,Dartford,3-0
Nuneaton Town,Hereford,2-1
Salisbury,Braintree Town,1-1
Tamworth,Kidderminster,0-3
Welling United,Forest Green,5-2
Aldershot,Wrexham,2-0
Alfreton Town,Barnet,3-1
Braintree Town,Southport,1-0
Cambridge,Forest Green,2-1
Chester,Grimsby,0-0
Dartford,Kidderminster,3-0
Halifax,Hereford,1-1
Hyde United,Welling United,0-1
Luton,Lincoln,3-2
Macclesfield,Woking,3-2
Nuneaton Town,Salisbury,1-2
Tamworth,Gateshead,0-1
Barnet,Macclesfield,1-2
Cambridge,Nuneaton Town,3-0
Forest Green,Tamworth,1-2
Gateshead,Chester,3-2
Grimsby,Dartford,5-2
Hereford,Lincoln,1-0
Kidderminster,Halifax,2-0
Salisbury,Hyde United,2-0
Southport,Alfreton Town,2-1
Welling United,Aldershot,1-0
Woking,Luton,0-4
Wrexham,Braintree Town,2-3
Kidderminster,Aldershot,0-0
Barnet,Salisbury,3-1
Braintree Town,Alfreton Town,3-1
Dartford,Southport,1-0
Forest Green,Gateshead,1-0
Grimsby,Tamworth,3-1
Halifax,Chester,2-1
Hereford,Luton,0-0
Lincoln,Hyde United,3-0
Macclesfield,Welling United,2-1
Woking,Nuneaton Town,2-0
Wrexham,Cambridge,1-1
Aldershot,Grimsby,0-3
Alfreton Town,Forest Green,3-2
Cambridge,Hereford,1-0
Chester,Kidderminster,0-0
Gateshead,Dartford,2-0
Hyde United,Braintree Town,0-3
Luton,Halifax,4-3
Nuneaton Town,Lincoln,2-2
