Sheffield United,Notts County,2-1
Bristol City,Bradford,2-2
Carlisle,Leyton Orient,1-5
Crawley Town,Coventry,3-2
Crewe,Rotherham,3-3
Gillingham,Colchester,0-1
Peterboro,Swindon,1-0
Port Vale,Brentford,1-1
Preston,Wolves,0-0
Shrewsbury,Milton Keynes Dons,0-0
Stevenage,Oldham,3-4
Walsall,Tranmere,3-1
Bradford,Carlisle,4-0
Brentford,Sheffield United,3-1
Colchester,Port Vale,1-0
Leyton Orient,Shrewsbury,3-0
Milton Keynes Dons,Crewe,1-0
Notts County,Peterboro,2-4
Oldham,Walsall,0-1
Rotherham,Preston,0-0
Swindon,Stevenage,1-0
Tranmere,Crawley Town,3-3
Wolves,Gillingham,4-0
Coventry,Bristol City,5-4
Bristol City,Wolves,1-2
Carlisle,Coventry,0-4
Crawley Town,Rotherham,1-2
Crewe,Tranmere,2-1
Gillingham,Brentford,1-1
Peterboro,Oldham,2-1
Port Vale,Bradford,2-1
Preston,Milton Keynes Dons,2-2
Sheffield United,Colchester,1-1
Shrewsbury,Swindon,2-0
Stevenage,Leyton Orient,0-1
Walsall,Notts County,1-1
Colchester,Carlisle,1-1
Wolves,Crawley Town,2-1
Bradford,Sheffield United,2-0
Brentford,Walsall,1-0
Leyton Orient,Crewe,2-0
Milton Keynes Dons,Bristol City,2-2
Notts County,Stevenage,0-1
Oldham,Port Vale,3-1
Rotherham,Shrewsbury,2-2
Swindon,Gillingham,2-2
Tranmere,Peterboro,0-5
Coventry,Preston,4-4
Brentford,Carlisle,0-0
Colchester,Leyton Orient,1-2
Gillingham,Bristol City,1-1
Notts County,Rotherham,0-1
Oldham,Tranmere,0-1
Peterboro,Crawley Town,0-2
Port Vale,Wolves,1-3
Sheffield United,Milton Keynes Dons,0-1
Shrewsbury,Coventry,1-1
Stevenage,Bradford,1-1
Swindon,Crewe,5-0
Walsall,Preston,0-3
Bradford,Brentford,4-0
Carlisle,Port Vale,0-1
Crawley Town,Gillingham,3-2
Crewe,Peterboro,2-2
Milton Keynes Dons,Swindon,1-1
Rotherham,Sheffield United,3-1
Tranmere,Stevenage,0-0
Coventry,Colchester,2-0
Preston,Oldham,2-1
Bradford,Colchester,2-2
Bristol City,Peterboro,0-3
Carlisle,Sheffield United,1-0
Crawley Town,Shrewsbury,1-1
Crewe,Walsall,0-3
Leyton Orient,Port Vale,3-2
Milton Keynes Dons,Notts County,3-1
Preston,Stevenage,3-0
Rotherham,Oldham,3-2
Tranmere,Brentford,3-4
Wolves,Swindon,3-2
Coventry,Gillingham,2-1
Bristol City,Shrewsbury,1-1
Leyton Orient,Notts County,5-1
Wolves,Walsall,0-1
Colchester,Crawley Town,1-1
Gillingham,Bradford,0-1
Notts County,Tranmere,2-0
Oldham,Crewe,1-1
Peterboro,Milton Keynes Dons,2-1
Port Vale,Coventry,3-2
Sheffield United,Preston,0-1
Shrewsbury,Wolves,0-1
Stevenage,Carlisle,1-3
Swindon,Bristol City,3-2
Walsall,Rotherham,1-1
Brentford,Leyton Orient,0-2
Bradford,Shrewsbury,2-1
Bristol City,Colchester,1-1
Carlisle,Notts County,2-1
Crawley Town,Oldham,1-0
Crewe,Gillingham,0-3
Leyton Orient,Walsall,1-1
Milton Keynes Dons,Stevenage,4-1
Preston,Swindon,2-1
Rotherham,Peterboro,0-1
Tranmere,Port Vale,0-1
Wolves,Sheffield United,2-0
Coventry,Brentford,0-2
Sheffield United,Crawley Town,1-1
Brentford,Rotherham,0-1
