Bury,Chesterfield,0-2
Cheltenham,Burton,2-2
Exeter,Bristol Rvs,2-1
Fleetwood Town,Dag and Red,3-1
Newport County,Accrington,4-1
Portsmouth,Oxford,1-4
Rochdale,Hartlepool,3-0
Scunthorpe,Mansfield,2-0
Southend,Plymouth,1-0
Torquay,AFC Wimbledon,1-1
Wycombe,Morecambe,1-0
York,Northampton,1-0
Accrington,Portsmouth,2-2
AFC Wimbledon,Wycombe,1-0
Bristol Rvs,Scunthorpe,0-0
Burton,Rochdale,1-0
Chesterfield,Cheltenham,2-0
Dag and Red,York,2-0
Hartlepool,Southend,0-1
Mansfield,Exeter,0-0
Morecambe,Torquay,1-1
Northampton,Newport County,3-1
Oxford,Bury,2-1
Plymouth,Fleetwood Town,0-2
Bury,Accrington,3-0
Cheltenham,Plymouth,1-3
Exeter,AFC Wimbledon,2-0
Fleetwood Town,Burton,2-3
Newport County,Bristol Rvs,1-0
Portsmouth,Morecambe,3-0
Rochdale,Chesterfield,2-2
Scunthorpe,Dag and Red,1-1
Southend,Northampton,2-0
Torquay,Oxford,1-3
Wycombe,Mansfield,0-1
York,Hartlepool,0-0
Accrington,Cheltenham,0-1
AFC Wimbledon,Scunthorpe,3-2
Bristol Rvs,York,3-2
Burton,Bury,2-2
Chesterfield,Southend,2-1
Dag and Red,Newport County,1-1
Hartlepool,Fleetwood Town,0-1
Mansfield,Portsmouth,2-2
Morecambe,Exeter,2-0
Northampton,Torquay,1-2
Oxford,Wycombe,2-2
Plymouth,Rochdale,1-0
Accrington,Burton,0-1
AFC Wimbledon,Fleetwood Town,2-0
Bristol Rvs,Northampton,1-0
Bury,Cheltenham,4-1
Exeter,York,2-1
Mansfield,Dag and Red,3-0
Morecambe,Plymouth,2-1
Oxford,Rochdale,1-1
Portsmouth,Chesterfield,0-2
Scunthorpe,Newport County,1-1
Torquay,Hartlepool,0-0
Wycombe,Southend,2-1
Burton,Oxford,0-2
Cheltenham,Portsmouth,2-2
Chesterfield,Accrington,1-0
Dag and Red,Exeter,1-1
Fleetwood Town,Torquay,4-1
Hartlepool,Wycombe,1-2
Newport County,Mansfield,1-1
Northampton,Scunthorpe,1-1
Plymouth,Bristol Rvs,1-0
Rochdale,Bury,1-0
Southend,Morecambe,1-3
York,AFC Wimbledon,0-2
Southend,Scunthorpe,0-1
Burton,Portsmouth,1-2
Cheltenham,Oxford,2-2
Chesterfield,AFC Wimbledon,2-0
Dag and Red,Bristol Rvs,2-0
Fleetwood Town,Bury,2-1
Hartlepool,Accrington,2-1
Newport County,Morecambe,2-3
Northampton,Exeter,1-2
Plymouth,Wycombe,0-3
Rochdale,Torquay,1-0
York,Mansfield,1-2
Accrington,Rochdale,1-2
AFC Wimbledon,Burton,3-1
Bristol Rvs,Hartlepool,2-2
Bury,Southend,1-1
Exeter,Newport County,0-2
Mansfield,Northampton,3-0
Morecambe,Dag and Red,2-2
Oxford,Chesterfield,0-1
Portsmouth,Fleetwood Town,0-1
Scunthorpe,Plymouth,1-0
Torquay,Cheltenham,4-2
Wycombe,York,1-1
Southend,Bristol Rvs,1-1
Burton,Scunthorpe,2-2
Cheltenham,AFC Wimbledon,1-0
Chesterfield,Mansfield,0-1
Dag and Red,Bury,2-1
Fleetwood Town,Exeter,1-2
Hartlepool,Oxford,1-3
Newport County,Torquay,2-1
Northampton,Morecambe,0-0
Plymouth,Accrington,0-0
Rochdale,Wycombe,3-2
York,Portsmouth,4-2
Accrington,Dag and Red,1-2
AFC Wimbledon,Northampton,0-2
Bristol Rvs,Fleetwood Town,1-3
Bury,Newport County,0-0
Exeter,Plymouth,3-1
Mansfield,Hartlepool,1-4
Morecambe,Chesterfield,4-3
Oxford,Southend,0-2
Portsmouth,Rochdale,3-0
Scunthorpe,Cheltenham,2-0
Torquay,York,0-3
Wycombe,Burton,1-2
AFC Wimbledon,Accrington,1-1
Burton,Southend,0-1
Bury,Morecambe,0-2
Dag and Red,Cheltenham,1-2
Exeter,Hartlepool,0-3
Fleetwood Town,Chesterfield,1-1
Mansfield,Bristol Rvs,1-1
Oxford,Northampton,2-0
